RANK (OUT OF 3046),SCHOOL NAME,RATINGS
1,St Sebastian,10
84,Josyf Cardinal Slipyj,8.8
84,St Clement,8.8
84,St Michael's Choir,8.8
102,St Bonaventure,8.7
123,Our Lady of Perpetual Help,8.6
163,St Demetrius,8.4
194,Father Serra,8.3
194,Prince of Peace,8.3
194,St Henry,8.3
194,St Josaphat,8.3
213,Our Lady of Sorrows,8.2
250,St Mary of the Angels,8.1
250,The Divine Infant,8.1
388,Our Lady of Grace,7.8
388,St Brendan,7.8
388,St Brigid,7.8
388,St Lawrence,7.8
388,St Pius X,7.8
388,St Sylvester,7.8
446,Sts Cosmas and Damian,7.7
495,All Saints,7.6
495,St Gabriel Lalemant,7.6
559,Blessed Sacrament,7.5
559,Holy Angels,7.5
559,St Ambrose,7.5
559,St Gregory,7.5
622,Blessed Pier Giorgio Frassati,7.4
622,St Louis,7.4
622,St Raphael,7.4
740,Mother Cabrini,7.2
740,St Anselm,7.2
740,St Denis,7.2
740,St Francis of Assisi,7.2
740,St Jean de Brebeuf,7.2
740,St Matthias,7.2
796,Blessed Margherita of Citta Castello,7.1
796,Nativity of Our Lord,7.1
796,St Robert,7.1
796,St Thomas Aquinas,7.1
796,St Timothy,7.1
796,St Vincent de Paul,7.1
796,The Holy Trinity,7.1
865,Holy Rosary,7
865,St Edward,7
865,St John,7
865,St Malachy,7
947,Canadian Martyrs,6.9
947,St Eugene,6.9
947,St Joachim,6.9
947,St Norbert,6.9
1024,St Cecilia,6.8
1096,Blessed John XXIII,6.7
1096,St Ignatius of Loyola,6.7
1096,St Jerome,6.7
1171,Holy Cross,6.6
1171,St Clare,6.6
1171,St Isaac Jogues,6.6
1171,St Richard,6.6
1171,Venerable John Merlini,6.6
1246,St Benedict,6.5
1246,St Fidelis,6.5
1322,St Agnes,6.4
1322,St Leo,6.4
1322,St Luigi,6.4
1400,Cardinal Leger,6.3
1400,St Mark,6.3
1400,St Paschal Baylon,6.3
1470,St Agatha,6.2
1470,St Dominic Savio,6.2
1470,St Edmund Campion,6.2
1470,St Florence,6.2
1470,St Monica,6.2
1470,St Nicholas,6.2
1470,St. Andre,6.2
1549,St John Vianney,6.1
1549,St Maria Goretti,6.1
1549,St Victor,6.1
1549,Transfiguration of our Lord,6.1
1616,Holy Spirit,6
1686,Holy Child,5.9
1686,Our Lady of Lourdes,5.9
1686,St Margaret,5.9
1686,St Maurice,5.9
1686,St Rose of Lima,5.9
1686,St Simon,5.9
1686,St Theresa Shrine,5.9
1686,St Thomas More,5.9
1769,St Elizabeth,5.8
1769,St Luke,5.8
1844,Annunciation,5.7
1844,Blessed Kateri Tekakwitha,5.7
1844,Precious Blood,5.7
1844,St Boniface,5.7
1844,St John the Evangelist,5.7
1921,Holy Name,5.6
1921,Regina Mundi,5.6
1921,St Aidan,5.6
1921,St Augustine,5.6
1921,St Barnabas,5.6
1921,St Francis Xavier,5.6
1921,St Marcellus,5.6
1984,James Culnan,5.5
1984,St Conrad,5.5
1984,St Jane Frances,5.5
1984,St Paul,5.5
2100,Msgr John Corrigan,5.3
2100,Pope Paul,5.3
2100,St Antoine Daniel,5.3
2100,St Bede,5.3
2157,Our Lady of Fatima,5.2
2157,St John Bosco,5.2
2210,St Anthony,5.1
2210,St Dunstan,5.1
2210,St Helen,5.1
2210,St Martin de Porres,5.1
2263,St Gabriel,5
2263,St Kevin,5
2263,St Matthew,5
2263,St Wilfrid,5
2315,Our Lady of Guadalupe Catholic,4.9
2315,St Bernard,4.9
2315,St Charles,4.9
2361,St Andrew,4.8
2361,St Jude,4.8
2400,St Alphonsus,4.7
2400,St Bruno Catholic,4.7
2400,St Martha,4.7
2449,St Francis de Sales,4.6
2449,St Mary,4.6
2491,Sacred Heart,4.5
2529,St Catherine,4.4
2560,Blessed Trinity,4.3
2560,St Gerald,4.3
2560,St Nicholas of Bari,4.3
2594,St James,4.2
2622,D'Arcy McGee,4.1
2622,St Angela,4.1
2652,St Barbara,4
2680,St Albert,3.9
2680,St Elizabeth Seton,3.9
2680,St Ursula,3.9
2711,Immaculate Conception,3.8
2711,Our Lady of the Assumption,3.8
2711,St Columba,3.8
2735,Santa Maria,3.7
2735,Stella Maris,3.7
2765,St Joseph,3.6
2815,Our Lady of Victory,3.4
2835,St Stephen,3.3
2875,Holy Family,3
2904,St Charles Garnier,2.8
2932,Epiphany of our Lord,2.5
2932,St Dorothy,2.5
2932,St Roch,2.5
