RANKING (OUT OF 3046),SCHOOL NAME,RATINGS
1,Avondale Alternative,10
25,Fleming,9.5
25,Whitney,9.5
34,Denlow,9.3
34,Humber Valley Village,9.3
34,John Ross Robertson,9.3
43,Beverly Glen,9.2
47,Blythwood,9.1
47,Ossington/Old Orchard,9.1
47,Swansea,9.1
58,Iroquois,9
58,Withrow Avenue,9
67,C D Farquharson,8.9
67,Chine Drive,8.9
67,David Lewis,8.9
84,Bessborough Drive,8.8
84,Cedarvale,8.8
84,Downtown Alternative,8.8
84,Port Royal,8.8
84,Summit Heights,8.8
102,Brookmill Boulevard,8.7
102,Island Public/Natural Science,8.7
102,Milliken,8.7
102,Rosedale,8.7
102,Runnymede,8.7
123,Bedford Park,8.6
123,Bellmere,8.6
123,Centennial Road,8.6
123,Davisville,8.6
123,Dunlace,8.6
123,Forest Hill,8.6
144,Courcelette,8.5
144,John Wanless,8.5
163,Armour Heights,8.4
163,Kennedy,8.4
163,Thomas L Wells,8.4
194,Northlea,8.3
213,Allenby,8.2
213,Fairglen,8.2
213,Percy Williams,8.2
250,Agincourt,8.1
250,North Bendale,8.1
250,West Preparatory,8.1
284,Dewson Street,8
284,Earl Haig,8
284,Inglewood Heights,8
284,Mountview Alternative,8
284,Palmerston Avenue,8
284,Pape Avenue,8
284,Rolph Road,8
284,St Andrews,8
334,Alvin Curling,7.9
334,Bridlewood,7.9
334,Jackman Avenue,7.9
334,Niagara Street,7.9
334,Norseman,7.9
334,Owen,7.9
334,Park Lawn,7.9
334,The Waterfront,7.9
388,Adam Beck,7.8
388,Chartland,7.8
388,Frankland,7.8
388,John English,7.8
388,Lambton Kingsway,7.8
388,Orde Street,7.8
446,Agnes Macphail,7.7
446,Bendale,7.7
446,Bennington Heights,7.7
446,Humberwood Downs,7.7
446,Morrish,7.7
446,North Preparatory,7.7
446,Rippleton,7.7
446,White Haven,7.7
495,Balmy Beach,7.6
495,Garden Avenue,7.6
495,Givins/Shaw,7.6
495,Ledbury Park,7.6
495,Wilkinson,7.6
559,Alexander Muir/Gladstone Ave,7.5
559,Brown,7.5
559,Churchill Heights,7.5
559,West Rouge,7.5
622,Banting and Best,7.4
622,Clinton Street,7.4
622,Hillcrest,7.4
622,John G Diefenbaker,7.4
622,Terry Fox,7.4
622,West Humber,7.4
622,William G Davis,7.4
681,Hunter's Glen,7.3
681,Indian Road Crescent,7.3
681,North Agincourt,7.3
681,Norway,7.3
681,Sir Samuel B Steele,7.3
740,Cornell,7.2
740,Deer Park,7.2
740,Emily Carr,7.2
740,John A Leslie,7.2
796,Anson Park,7.1
796,Beaumonde Heights,7.1
796,Brookside,7.1
796,Glamorgan,7.1
796,Hawthorne II Bilingual,7.1
796,North Kipling,7.1
865,Fern Avenue,7
865,Heritage Park,7
865,King George,7
865,Meadowvale,7
865,Regent Heights,7
947,Burrows Hall,6.9
947,George P Mackie,6.9
947,Highland Creek,6.9
947,Islington,6.9
1024,Alexmuir,6.8
1024,Charles G Fraser,6.8
1024,Danforth Gardens,6.8
1024,Duke of Connaught,6.8
1024,Harrison,6.8
1024,Vradenburg,6.8
1096,Cedarbrook,6.7
1096,George B Little,6.7
1096,Glen Ravine,6.7
1096,Humewood,6.7
1096,Huron Street,6.7
1096,Lord Roberts,6.7
1096,McMurrich,6.7
1096,Regal Road,6.7
1096,Williamson Road,6.7
1171,Birch Cliff Heights,6.6
1171,Blantyre,6.6
1171,Earl Beatty,6.6
1171,Guildwood,6.6
1171,Joyce,6.6
1171,Maple Leaf,6.6
1246,Berner Trail,6.5
1246,Charlottetown,6.5
1246,Donwood Park,6.5
1246,Kimberley,6.5
1246,Morse Street,6.5
1246,North Bridlewood,6.5
1322,Birch Cliff,6.4
1322,Elizabeth Simcoe,6.4
1322,Mason Road,6.4
1322,Roselands,6.4
1400,Dublin Heights,6.3
1400,James S Bell,6.3
1400,Lord Dufferin,6.3
1400,Pleasant,6.3
1400,Poplar Road,6.3
1400,Rockford,6.3
1400,Shirley Street,6.3
1400,Warren Park,6.3
1470,Bruce,6.2
1470,Ogden,6.2
1549,George Peck,6.1
1549,Heather Heights,6.1
1549,Mary Shadd,6.1
1549,Pauline,6.1
1549,Rose Avenue,6.1
1549,Second Street,6.1
1549,Sprucecourt,6.1
1549,Timberbank,6.1
1549,Wexford,6.1
1616,Ellesmere-Statton,6
1616,Gulfstream,6
1616,Tom Longboat,6
1686,Avondale,5.9
1686,Glen Park,5.9
1686,Kew Beach,5.9
1686,Rouge Valley,5.9
1769,Keele Street,5.8
1844,Lanor,5.7
1844,Malvern,5.7
1844,Norman Cook,5.7
1844,Woburn,5.7
1921,Annette Street,5.6
1921,Brimwood Boulevard,5.6
1921,Gateway,5.6
1984,Clairlea,5.5
1984,Faywood Arts,5.5
1984,Ryerson,5.5
1984,Shaughnessy,5.5
1984,Whole Child,5.5
1984,William G Miller,5.5
1984,William Tredway,5.5
2052,Anson S Taylor,5.4
2052,Bowmore Road,5.4
2052,Jesse Ketchum,5.4
2052,Market Lane,5.4
2052,Perth Avenue,5.4
2052,Queen Victoria,5.4
2052,Roden,5.4
2052,The Elms,5.4
2052,Valleyfield,5.4
2100,Buchanan,5.3
2100,Highcastle,5.3
2100,Silver Springs,5.3
2157,Albion Heights,5.2
2157,Edgewood,5.2
2157,Golf Road,5.2
2157,John McCrae,5.2
2157,Macklin,5.2
2210,Brock,5.1
2210,Cordella,5.1
2210,Leslieville,5.1
2210,Terraview-Willowfield,5.1
2263,Dorset Park,5
2263,George Webster,5
2263,Harwood,5
2315,Charles E Webster,4.9
2315,Fairmount,4.9
2315,Tam O'Shanter,4.9
2315,Walter Perry,4.9
2361,Carleton Village,4.8
2361,Elmbank,4.8
2361,Greenholme,4.8
2400,Alexander Stirling,4.7
2400,Blake Street,4.7
2400,Church Street,4.7
2400,H A Halbert,4.7
2449,Chief Dan George,4.6
2449,Fairbank,4.6
2449,Grey Owl,4.6
2491,General Crerar,4.5
2491,Gledhill,4.5
2491,Pauline Johnson,4.5
2529,J R Wilcox,4.4
2529,Lucy Maud Montgomery,4.4
2529,Lynngate,4.4
2560,Essex,4.3
2560,General Brock,4.3
2560,Rawlinson,4.3
2594,Dixon Grove,4.2
2594,Dovercourt,4.2
2594,Kane,4.2
2594,King Edward,4.2
2622,Grenoble,4.1
2652,Cedar Drive,4
2652,Corvette,4
2652,Military Trail,4
2652,Portage Trail Junior Community,4
2652,Warden Avenue,4
2652,Willow Park,4
2680,J G Workman,3.9
2680,Maryvale,3.9
2711,Knob Hill,3.8
2711,Manhattan Park,3.8
2735,Galloway Road,3.7
2735,St Margaret's,3.7
2835,General Mercer,3.3
2835,Nelson Mandela Park,3.3
2848,Chester Le,3.2
2848,Joseph Brant,3.2
2848,West Hill,3.2
2904,Parkdale,2.8
2951,Eastview,2.3
2966,Ionview,2
2971,R J Lang,1.9
2976,Highland Heights,1.8
2985,First Nations School of Toronto,1.6
3011,F H Miller,0.7
